bout_order,red_fighter,blue_fighter,weight_class,ruleset,title_bout
1,Rodtang Jitmuangnon,Takeru Segawa,Flyweight,Kickboxing,ONE Interim Flyweight Kickboxing World Championship
2,Yuya Wakamatsu,Avazbek Kholmirzaev,Flyweight,MMA,ONE Flyweight MMA World Championship
3,Nadaka,Songchainoi Kiatsongrit,Atomweight,Muay Thai,ONE Atomweight Muay Thai World Championship
4,Jonathan Haggerty,Yuki Yoza,Bantamweight,Kickboxing,ONE Bantamweight Kickboxing World Championship
5,Marat Grigorian,Kaito,Featherweight,Kickboxing,
6,Ayaka Miura,Chihiro Sawada,Atomweight,MMA,
7,Hiroki Akimoto,Taimu Hisai,Bantamweight,Kickboxing,
8,Hiromi Wajima,Ricardo Bravo,Featherweight,Kickboxing,
9,Itsuki Hirata,Ritu Phogat,Atomweight,MMA,
10,Tatsumitsu Wada,Seiichiro Ito,Flyweight,MMA,
11,Keito Yamakita,Ryohei Kurosawa,Strawweight,MMA,
12,Shimon Yoshinari,Johan Ghazali,Flyweight,Muay Thai,
13,Toma Kuroda,Toki Tamaru,Atomweight,Kickboxing,
14,Hyu,Taiki Naito,Flyweight,Kickboxing,
15,Kanata Nagai,Atsubo Kambe,Bantamweight,MMA,
